"strain" "emmean" "SE" "df" "lower.CL" "upper.CL"
"A_QG3086" 4.48886641563477 0.0905262344415348 93.7281421696756 4.30911765812619 4.66861517314335
"A_QG3087" 4.55185388664991 0.0612006244911894 88.3439997587175 4.43023710614273 4.67347066715709
"A_QG3089" 4.65574722284713 0.0436984271220254 29.7275912476344 4.56646882332118 4.74502562237307
"A_QG3090" 4.74032187560858 0.0828580641222951 182.830672624406 4.57684092001445 4.90380283120272
"A_QG3091" 4.65587641896325 0.0924215798216381 75.8680269983156 4.47179771156145 4.83995512636506
"A_QG3092" 4.61670855669188 0.108109684304886 85.8355162395977 4.40178774182967 4.83162937155409
"A_QG3093" 4.73422062394002 0.0924215798216381 75.8680269983156 4.55014191653821 4.91829933134182
"A_QG3094" 5.30170448254649 0.105674911551349 119.287191531702 5.09246277755699 5.510946187536
"A_QG3095" 4.57759055528937 0.0828580641222951 182.830672624404 4.41410959969523 4.74107151088351
"A_QG3096" 4.73070485838798 0.109916154973828 64.8821895729503 4.5111795819757 4.95023013480026
"A_QG3097" 4.59955454096323 0.0843885237305059 162.315338437574 4.43291362729568 4.76619545463077
"A_QG3100" 4.68085913402386 0.0992524185594067 219.913982079565 4.48525148929349 4.87646677875423
"A_QG3101" 4.56317508720135 0.0905818836737318 92.9202609160685 4.3832953839298 4.7430547904729
"A_QG3102" 4.68318481078781 0.0648685497304966 112.411007279336 4.55466122618891 4.81170839538671
"A_QG3103" 4.63094932681022 0.084388523730506 162.315338437574 4.46430841314268 4.79759024047777
"A_QG3104" 4.68015079422267 0.132752314465873 311.85653438001 4.41894733735235 4.94135425109299
"A_QG3105" 4.73212562251901 0.0905262344415379 93.7281421696696 4.55237686501042 4.91187438002759
"A_QG3106" 4.94011546580157 0.10402133260453 144.27245083412 4.73451278354637 5.14571814805677
"A_QG3107" 4.77474654020437 0.084388523730506 162.315338437574 4.60810562653683 4.94138745387191
"A_QG3109" 4.43870209040134 0.084388523730506 162.315338437574 4.27206117673379 4.60534300406888
"A_QG3110" 4.60693366347676 0.0809666747031847 177.169248068628 4.44715044688346 4.76671688007005
"A_QG3111" 4.50999396244913 0.0905262344415379 93.7281421696696 4.33024520494054 4.68974271995772
"A_QG3112" 4.86645134548498 0.0905262344415379 93.7281421696696 4.68670258797639 5.04620010299357
"A_QG3113" 4.65487355331749 0.0972425966825885 40.2333842198482 4.45837444107411 4.85137266556087
"A_QG3114" 4.58753342700767 0.0924215798216381 75.868026998316 4.40345471960587 4.77161213440947
"A_QG3115" 4.76457998215498 0.0951959312462672 53.5123415502688 4.5736837898875 4.95547617442246
"A_QG3116" 4.7739613952444 0.0682504991667744 81.8656566376912 4.63818607484486 4.90973671564395
"A_QG3117" 4.81256339393203 0.0850035533094569 156.443995175564 4.64466066190228 4.98046612596179
